GEOID,total_pop,median_rent,median_income,median_age,educational_attainment_pop25,bachelor_degree,master_degree,professional_degree,doctoral_degree,white,african_american,tenure_owner,with_children,boardings,alightings
170318311004,3787.0,1161.0,51403.0,29.2,2266.0,257.0,252.0,12.0,0.0,2964.0,0.0,432.0,1030.0,115.0,208.0
170318311003,1564.0,1075.0,84167.0,42.2,1221.0,466.0,227.0,17.0,0.0,1054.0,22.0,362.0,193.0,91.0,79.0
170312104001,1595.0,1061.0,45625.0,35.9,1174.0,191.0,83.0,13.0,8.0,938.0,32.0,280.0,236.0,182.0,147.0
170312306004,879.0,902.0,85208.08522167488,39.5,507.0,49.0,0.0,0.0,0.0,144.0,211.0,84.0,79.0,96.0,77.0
170314308001,957.0,1063.0,72820.0,37.0,761.0,47.0,132.0,8.0,4.0,12.0,925.0,98.0,45.0,60.0,74.0
170314308002,1000.0,996.0,85208.08522167488,32.9,642.0,174.0,161.0,7.0,0.0,0.0,1000.0,153.0,267.0,193.0,112.0
170316103001,1914.0,794.0,25194.0,28.0,1061.0,27.0,0.0,0.0,0.0,1099.0,0.0,128.0,535.0,36.0,59.0
170316103002,2455.0,686.0,40855.0,29.6,1272.0,64.0,29.0,0.0,0.0,1478.0,38.0,203.0,751.0,20.0,108.0
170316104001,1951.0,797.0,42721.0,30.6,1145.0,103.0,17.0,7.0,0.0,1026.0,56.0,160.0,551.0,126.0,144.0
170312518004,775.0,983.0,21557.0,33.6,483.0,18.0,0.0,0.0,0.0,101.0,660.0,26.0,125.0,105.0,210.0
170314106001,1317.0,1578.0,83750.0,35.8,920.0,268.0,218.0,23.0,200.0,539.0,528.0,267.0,97.0,226.0,36.0
170312801002,1567.0,2396.0,180313.0,32.3,1340.0,726.0,372.0,132.0,39.0,1244.0,0.0,444.0,90.0,355.0,374.0
170313018032,2025.0,811.0,34777.0,30.4,1336.0,75.0,0.0,0.0,0.0,1145.0,0.0,135.0,488.0,5.0,186.0
170313403001,1875.0,607.0,44779.0,48.8,1439.0,156.0,164.0,16.0,0.0,269.0,7.0,320.0,327.0,33.0,6.0
170314402012,1902.0,882.0,51250.0,35.4,1298.0,291.0,47.0,0.0,0.0,21.0,1881.0,201.0,275.0,119.0,220.0
170314403003,799.0,871.0,85208.08522167488,43.5,528.0,21.0,144.0,0.0,14.0,78.0,721.0,159.0,44.0,12.0,15.0
170314403004,1159.0,956.0,54595.0,57.4,855.0,172.0,88.0,13.0,17.0,0.0,1159.0,250.0,97.0,57.0,64.0
170314403005,839.0,1145.3387096774193,85208.08522167488,54.2,662.0,63.0,84.0,20.0,0.0,0.0,839.0,233.0,20.0,35.0,21.0
170314403001,801.0,1145.3387096774193,66614.0,46.8,546.0,107.0,78.0,0.0,13.0,0.0,707.0,286.0,204.0,96.0,128.0
170315202002,734.0,730.0,40690.0,50.3,507.0,50.0,33.0,0.0,0.0,667.0,1.0,124.0,142.0,14.0,47.0
170310507001,1742.0,1963.0,171429.0,31.9,1167.0,518.0,285.0,132.0,53.0,1629.0,9.0,512.0,410.0,40.0,128.0
170310509001,1414.0,1661.0,137083.0,33.8,1022.0,404.0,210.0,68.0,20.0,1100.0,30.0,233.0,290.0,135.0,101.0
170310514002,834.0,1782.0,133594.0,30.4,604.0,304.0,100.0,37.0,0.0,596.0,107.0,250.0,117.0,86.0,74.0
170318437002,1351.0,1700.0,141042.0,34.9,966.0,289.0,235.0,30.0,21.0,1177.0,27.0,338.0,256.0,128.0,108.0
170312504004,628.0,952.0,85208.08522167488,48.3,447.0,0.0,0.0,0.0,0.0,0.0,612.0,136.0,19.0,51.0,72.0
